Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Picard_mqc-generalstats-picard-FOLD_ENRICHMENT	Picard_mqc-generalstats-picard-PCT_TARGET_BASES_30X	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-C_coverage	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
lambda.cfDNA000072_S4-subsamp18M-s18_R1_001_val_1				0.997926	0.6	0.6	0.6	1995127.0	421.082			203992.0	1.18269286070764					
lambda.cfDNA000073_S5-subsamp18M-s18_R1_001_val_1				0.997757	1.2	1.2	1.2	1744484.0	346.412			167198.0	1.0035274531963183					
lambda.cfDNA000074_S6-subsamp18M-s18_R1_001_val_1				0.996837	0.7	0.7	0.7	1336876.0	234.220			114134.0	0.6645364748335355					
lambda.cfDNA000075_S20-subsamp18M-s18_R1_001_val_1				0.994015	0.6	0.6	0.7	1187493.0	187.255			91561.0	0.5207114765580597					
lambda.cfDNA000076_S7-subsamp18M-s18_R1_001_val_1				0.997343	0.7	0.7	0.7	1502319.0	275.139			133982.0	0.7736414734006538					
lambda.cfDNA000077_S21-subsamp18M-s18_R1_001_val_1				0.998691	0.7	0.7	0.7	2476927.0	701.690			338389.0	1.9732638547714565					
lambda.cfDNA000078_S7-subsamp18M-s18_R1_001_val_1				0.998325	0.8	0.7	0.7	2078392.0	487.472			234587.0	1.3617216365991618					
lambda.cfDNA000079_S8-subsamp18M-s18_R1_001_val_1				0.998544	0.8	0.8	0.8	2932902.0	861.707			416079.0	2.4859308688734036					
lambda.cfDNA000080_S8-subsamp18M-s18_R1_001_val_1				0.994522	1.1	1.1	1.0	804208.0	117.661			56595.0	0.3233069614938238					
lambda.cfDNA000081_S9-subsamp18M-s18_R1_001_val_1				0.998494	0.5	0.5	0.5	2077424.0	557.152			268894.0	1.5409672034288289					
lambda.cfDNA000082_S9-subsamp18M-s18_R1_001_val_1				0.9991	0.9	0.9	0.9	2742072.0	1031.939			499954.0	2.9134023360410657					
lambda.cfDNA000083_S22-subsamp18M-s18_R1_001_val_1				0.998761	1.0	1.0	1.0	2519169.0	741.888			359991.0	2.0735455456737757					
lambda.cfDNA000085_S10-subsamp18M-s18_R1_001_val_1				0.995866	0.5	0.5	0.5	1108394.0	176.535			85635.0	0.4899925592768835					
lambda.cfDNA000086_S24-subsamp18M-s18_R1_001_val_1				0.999408	0.7	0.7	0.7	3145531.0	1830.904			882845.0	5.1666399315847205					
lambda.cfDNA000087_S10-subsamp18M-s18_R1_001_val_1				0.997674	0.9	0.8	0.8	1832615.0	398.966			192212.0	1.1185243476550017					
lambda.cfDNA000088_S11-subsamp18M-s18_R1_001_val_1				0.997456	0.8	0.8	0.8	1669063.0	324.714			155649.0	0.9156999395863598					
lambda.cfDNA000089_S25-subsamp18M-s18_R1_001_val_1				0.997928	0.7	0.7	0.7	1921282.0	401.921			193065.0	1.1330161486711554					
lambda.cfDNA000090_S12-subsamp18M-s18_R1_001_val_1				0.995149	0.9	0.8	0.9	891051.0	138.196			66993.0	0.38801678956114194					
lambda.cfDNA000091_S13-subsamp18M-s18_R1_001_val_1				0.996703	1.0	1.0	1.1	1512834.0	274.634			131923.0	0.7743421982894306					
lambda.cfDNA000092_S13-subsamp18M-s18_R1_001_val_1				0.998958	0.9	0.9	0.9	2694978.0	995.019			481847.0	2.8189698752420362					
lambda.cfDNA000093_S26-subsamp18M-s18_R1_001_val_1				0.998514	0.8	0.8	0.9	2362569.0	656.935			316861.0	1.8697866422382323					
lambda.cfDNA000094_S14-subsamp18M-s18_R1_001_val_1				0.995431	0.5	0.5	0.5	953478.0	148.963			71790.0	0.41705412693329047					
lambda.cfDNA000095_S14-subsamp18M-s18_R1_001_val_1				0.995279	0.8	0.8	0.9	963093.0	145.495			69693.0	0.4010539167280105					
lambda.cfDNA000096_S15-subsamp18M-s18_R1_001_val_1				0.998898	0.9	0.8	0.8	2626381.0	972.887			470773.0	2.792736073143983					
lambda.cfDNA000097_S27-subsamp18M-s18_R1_001_val_1				0.998853	1.2	1.2	1.2	2672628.0	925.322			445369.0	2.6167339031167622					
lambda.cfDNA000098_S15-subsamp18M-s18_R1_001_val_1				0.99844	0.8	0.8	0.8	2193056.0	563.192			273089.0	1.5978330381523604					
lambda.cfDNA000099_S28-subsamp18M-s18_R1_001_val_1				0.98601	0.6	0.7	0.7	304551.0	40.478			19443.0	0.11170739843333864					
