AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	26413475	0.094	9.78	3.93	144214828	31083366	0.216	5.03	4.63	200305765	55523847	0.277	6.99	8.26	221340539	19864820	0.090	7.73	2.96	845903867	134952534	0.160	29.53	19.60	207810289	48282609	0.232	7.25	7.18	149236511	63907626	0.428	5.21	9.51	28245162	30761608	1.089	0.99	4.58	200417614	51341961	0.256	7.00	7.64	585709826	201061284	0.343	20.45	29.20	169975490	42908940	0.252	5.93	6.38	122200725	64840652	0.531	4.27	9.65	149305392	76083005	0.510	5.21	11.32	144544873	33084106	0.229	5.05	4.92	586026532	221550595	0.378	20.46	32.18		188075325	15088411	0.080	6.57	2.25	170057716	37586889	0.221	5.94	5.59	208169963	50298322	0.242	7.27	7.48	280841927	24998827	0.089	9.80	3.72	847144995	130981258	0.155	29.57	19.02
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	30585758	0.109	9.78	4.24	144214828	33707172	0.234	5.03	4.67	200305765	59877142	0.299	6.99	8.30	221340539	22648405	0.102	7.73	3.14	845903867	149119268	0.176	29.53	20.17	207810289	52063910	0.251	7.25	7.21	149236511	66438463	0.445	5.21	9.20	28245162	31726155	1.123	0.99	4.40	200417614	54961173	0.274	7.00	7.61	585709826	212299563	0.362	20.45	28.72	169975490	46323164	0.273	5.93	6.42	122200725	67978307	0.556	4.27	9.42	149305392	79159934	0.530	5.21	10.97	144544873	35814891	0.248	5.05	4.96	586026532	234110052	0.399	20.46	31.67		188075325	17649955	0.094	6.57	2.45	170057716	40309271	0.237	5.94	5.58	208169963	54089142	0.260	7.27	7.49	280841927	28493354	0.101	9.80	3.95	847144995	143774966	0.170	29.57	19.45
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	32746602	0.117	9.78	3.80	144214828	38446836	0.267	5.03	4.46	200305765	69572956	0.347	6.99	8.06	221340539	23946570	0.108	7.73	2.78	845903867	167120856	0.198	29.53	18.92	207810289	58464661	0.281	7.25	6.78	149236511	84269425	0.565	5.21	9.77	28245162	47383443	1.678	0.99	5.49	200417614	63718537	0.318	7.00	7.39	585709826	262668389	0.448	20.45	29.73	169975490	54173602	0.319	5.93	6.28	122200725	88280675	0.722	4.27	10.23	149305392	100821564	0.675	5.21	11.69	144544873	41810180	0.289	5.05	4.85	586026532	290794825	0.496	20.46	32.91		188075325	18743518	0.100	6.57	2.17	170057716	47238945	0.278	5.94	5.48	208169963	61846305	0.297	7.27	7.17	280841927	31304811	0.111	9.80	3.63	847144995	162932105	0.192	29.57	18.44
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	26295270	0.094	9.78	4.22	144214828	28853457	0.200	5.03	4.63	200305765	51167101	0.255	6.99	8.22	221340539	20378063	0.092	7.73	3.27	845903867	128672411	0.152	29.53	20.17	207810289	44510040	0.214	7.25	7.15	149236511	56883888	0.381	5.21	9.14	28245162	26480414	0.938	0.99	4.25	200417614	47234996	0.236	7.00	7.59	585709826	181094718	0.309	20.45	28.39	169975490	39717059	0.234	5.93	6.38	122200725	57179116	0.468	4.27	9.18	149305392	68154669	0.456	5.21	10.95	144544873	31798568	0.220	5.05	5.11	586026532	201195393	0.343	20.46	31.54		188075325	15953537	0.085	6.57	2.56	170057716	34817250	0.205	5.94	5.59	208169963	47523439	0.228	7.27	7.63	280841927	25698622	0.092	9.80	4.13	847144995	126863537	0.150	29.57	19.89
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	24769041	0.088	9.78	3.38	144214828	32624813	0.226	5.03	4.45	200305765	59074682	0.295	6.99	8.05	221340539	18390184	0.083	7.73	2.51	845903867	136835037	0.162	29.53	18.19	207810289	50808558	0.244	7.25	6.92	149236511	75706805	0.507	5.21	10.32	28245162	41168310	1.458	0.99	5.61	200417614	55146739	0.275	7.00	7.51	585709826	230470930	0.393	20.45	30.64	169975490	45242597	0.266	5.93	6.16	122200725	77774644	0.636	4.27	10.60	149305392	88785763	0.595	5.21	12.10	144544873	34438545	0.238	5.05	4.69	586026532	251688716	0.429	20.46	33.47		188075325	13697082	0.073	6.57	1.87	170057716	40275866	0.237	5.94	5.49	208169963	52473135	0.252	7.27	7.15	280841927	23505579	0.084	9.80	3.20	847144995	133073593	0.157	29.57	17.69
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	24616222	0.088	9.78	3.36	144214828	32448763	0.225	5.03	4.43	200305765	59292693	0.296	6.99	8.09	221340539	18306335	0.083	7.73	2.50	845903867	136621396	0.162	29.53	18.19	207810289	50759692	0.244	7.25	6.92	149236511	75372186	0.505	5.21	10.28	28245162	41055304	1.454	0.99	5.60	200417614	54888491	0.274	7.00	7.49	585709826	229675638	0.392	20.45	30.57	169975490	45340914	0.267	5.93	6.18	122200725	77779409	0.636	4.27	10.61	149305392	89363104	0.599	5.21	12.19	144544873	34456480	0.238	5.05	4.70	586026532	252452546	0.431	20.46	33.60		188075325	13609820	0.072	6.57	1.86	170057716	39930618	0.235	5.94	5.45	208169963	52669974	0.253	7.27	7.18	280841927	23271204	0.083	9.80	3.17	847144995	132518838	0.156	29.57	17.64
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	24830127	0.089	9.78	3.32	144214828	32877458	0.228	5.03	4.39	200305765	60073837	0.300	6.99	8.03	221340539	18249863	0.082	7.73	2.44	845903867	137992504	0.163	29.53	17.99	207810289	51062987	0.246	7.25	6.82	149236511	77589987	0.520	5.21	10.37	28245162	43762974	1.549	0.99	5.85	200417614	55660372	0.278	7.00	7.44	585709826	235863580	0.403	20.45	30.75	169975490	46143209	0.271	5.93	6.16	122200725	80508507	0.659	4.27	10.76	149305392	92011945	0.616	5.21	12.29	144544873	34931745	0.242	5.05	4.67	586026532	259199028	0.442	20.46	33.79		188075325	13610719	0.072	6.57	1.82	170057716	40657490	0.239	5.94	5.43	208169963	53089374	0.255	7.27	7.09	280841927	23489938	0.084	9.80	3.14	847144995	133943133	0.158	29.57	17.46
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	29995164	0.107	9.78	3.65	144214828	36731145	0.255	5.03	4.47	200305765	65900081	0.329	6.99	8.03	221340539	21928024	0.099	7.73	2.67	845903867	156724471	0.185	29.53	18.64	207810289	56750368	0.273	7.25	6.91	149236511	82627720	0.554	5.21	10.06	28245162	44935619	1.591	0.99	5.47	200417614	61498800	0.307	7.00	7.49	585709826	254068762	0.434	20.45	30.21	169975490	50608914	0.298	5.93	6.16	122200725	84878099	0.695	4.27	10.34	149305392	96529623	0.647	5.21	11.76	144544873	39043935	0.270	5.05	4.76	586026532	277082665	0.473	20.46	32.95		188075325	16665607	0.089	6.57	2.03	170057716	45166827	0.266	5.94	5.50	208169963	58992972	0.283	7.27	7.19	280841927	28793924	0.103	9.80	3.51	847144995	153125407	0.181	29.57	18.21
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	27501693	0.098	9.78	3.71	144214828	33421544	0.232	5.03	4.51	200305765	60143605	0.300	6.99	8.11	221340539	20397682	0.092	7.73	2.75	845903867	143553645	0.170	29.53	18.89	207810289	52169020	0.251	7.25	7.03	149236511	73916661	0.495	5.21	9.97	28245162	38322099	1.357	0.99	5.17	200417614	55899032	0.279	7.00	7.54	585709826	227703062	0.389	20.45	29.97	169975490	46078126	0.271	5.93	6.21	122200725	75244865	0.616	4.27	10.14	149305392	86750499	0.581	5.21	11.70	144544873	35447159	0.245	5.05	4.78	586026532	248976830	0.425	20.46	32.77		188075325	15366616	0.082	6.57	2.07	170057716	40879538	0.240	5.94	5.51	208169963	54102669	0.260	7.27	7.29	280841927	26065152	0.093	9.80	3.51	847144995	139580713	0.165	29.57	18.37
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	26583487	0.095	9.78	3.70	144214828	32665382	0.227	5.03	4.55	200305765	58945896	0.294	6.99	8.21	221340539	19847780	0.090	7.73	2.77	845903867	140102576	0.166	29.53	19.05	207810289	50961838	0.245	7.25	7.10	149236511	70173873	0.470	5.21	9.78	28245162	35565320	1.259	0.99	4.96	200417614	54441053	0.272	7.00	7.59	585709826	218446464	0.373	20.45	29.70	169975490	45313713	0.267	5.93	6.31	122200725	71878789	0.588	4.27	10.01	149305392	83857240	0.562	5.21	11.68	144544873	34772294	0.241	5.05	4.84	586026532	241011167	0.411	20.46	32.77		188075325	14899679	0.079	6.57	2.08	170057716	39793406	0.234	5.94	5.54	208169963	52942724	0.254	7.27	7.38	280841927	25098498	0.089	9.80	3.50	847144995	135849017	0.160	29.57	18.47
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	25748713	0.092	9.78	3.73	144214828	31430503	0.218	5.03	4.56	200305765	56371309	0.281	6.99	8.17	221340539	19362637	0.087	7.73	2.81	845903867	134932997	0.160	29.53	19.09	207810289	49117640	0.236	7.25	7.12	149236511	67822361	0.454	5.21	9.83	28245162	33905099	1.200	0.99	4.91	200417614	52552831	0.262	7.00	7.62	585709826	210424420	0.359	20.45	29.76	169975490	43196749	0.254	5.93	6.26	122200725	68979777	0.564	4.27	10.00	149305392	79795554	0.534	5.21	11.57	144544873	33282178	0.230	5.05	4.82	586026532	230274426	0.393	20.46	32.57		188075325	14620891	0.078	6.57	2.12	170057716	38335662	0.225	5.94	5.56	208169963	50867538	0.244	7.27	7.37	280841927	24487894	0.087	9.80	3.55	847144995	131322601	0.155	29.57	18.58
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	26982660	0.096	9.78	3.44	144214828	34740642	0.241	5.03	4.43	200305765	62739485	0.313	6.99	8.00	221340539	19806345	0.089	7.73	2.53	845903867	146327871	0.173	29.53	18.22	207810289	53825737	0.259	7.25	6.87	149236511	80725327	0.541	5.21	10.30	28245162	44948341	1.591	0.99	5.73	200417614	58575586	0.292	7.00	7.47	585709826	246174670	0.420	20.45	30.65	169975490	48091820	0.283	5.93	6.14	122200725	83367599	0.682	4.27	10.64	149305392	94175378	0.631	5.21	12.01	144544873	36702438	0.254	5.05	4.68	586026532	268097328	0.457	20.46	33.38		188075325	14928412	0.079	6.57	1.90	170057716	42909235	0.252	5.94	5.47	208169963	55673116	0.267	7.27	7.10	280841927	25659290	0.091	9.80	3.27	847144995	142457591	0.168	29.57	17.74
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	33004790	0.118	9.78	3.86	144214828	38402100	0.266	5.03	4.49	200305765	68907119	0.344	6.99	8.05	221340539	24376389	0.110	7.73	2.85	845903867	166984296	0.197	29.53	19.06	207810289	59271124	0.285	7.25	6.93	149236511	83816599	0.562	5.21	9.80	28245162	44418918	1.573	0.99	5.19	200417614	63935107	0.319	7.00	7.47	585709826	259702381	0.443	20.45	29.65	169975490	52937115	0.311	5.93	6.19	122200725	85495992	0.700	4.27	9.99	149305392	98342025	0.659	5.21	11.50	144544873	41804939	0.289	5.05	4.89	586026532	284802459	0.486	20.46	32.52		188075325	18888188	0.100	6.57	2.21	170057716	47087912	0.277	5.94	5.50	208169963	62605294	0.301	7.27	7.32	280841927	32183843	0.115	9.80	3.76	847144995	164415651	0.194	29.57	18.77
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	25278359	0.090	9.78	3.79	144214828	30534673	0.212	5.03	4.58	200305765	54709610	0.273	6.99	8.21	221340539	19166481	0.087	7.73	2.87	845903867	131678664	0.156	29.53	19.27	207810289	47638734	0.229	7.25	7.15	149236511	64428695	0.432	5.21	9.66	28245162	31764485	1.125	0.99	4.76	200417614	50821820	0.254	7.00	7.62	585709826	201398865	0.344	20.45	29.48	169975490	42057407	0.247	5.93	6.31	122200725	65623715	0.537	4.27	9.84	149305392	76561894	0.513	5.21	11.48	144544873	32652610	0.226	5.05	4.90	586026532	221719156	0.378	20.46	32.45		188075325	14495479	0.077	6.57	2.17	170057716	37126316	0.218	5.94	5.57	208169963	49684363	0.239	7.27	7.45	280841927	24151984	0.086	9.80	3.62	847144995	128417445	0.152	29.57	18.80
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	25620953	0.091	9.78	3.72	144214828	31413973	0.218	5.03	4.57	200305765	56171583	0.280	6.99	8.17	221340539	19245842	0.087	7.73	2.80	845903867	134474783	0.159	29.53	19.08	207810289	49105849	0.236	7.25	7.14	149236511	67981302	0.456	5.21	9.88	28245162	33632908	1.191	0.99	4.89	200417614	52508603	0.262	7.00	7.63	585709826	210173724	0.359	20.45	29.82	169975490	43086768	0.253	5.93	6.26	122200725	68549740	0.561	4.27	9.97	149305392	79398206	0.532	5.21	11.54	144544873	33198129	0.230	5.05	4.83	586026532	229250258	0.391	20.46	32.52		188075325	14388827	0.077	6.57	2.09	170057716	38354118	0.226	5.94	5.58	208169963	50863323	0.244	7.27	7.39	280841927	24372602	0.087	9.80	3.54	847144995	130993579	0.155	29.57	18.58
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	26808913	0.096	9.78	3.76	144214828	32499427	0.225	5.03	4.56	200305765	58497838	0.292	6.99	8.21	221340539	20270207	0.092	7.73	2.85	845903867	140183474	0.166	29.53	19.20	207810289	50792755	0.244	7.25	7.13	149236511	69094669	0.463	5.21	9.70	28245162	34198308	1.211	0.99	4.80	200417614	54415426	0.272	7.00	7.64	585709826	215758153	0.368	20.45	29.55	169975490	44894872	0.264	5.93	6.30	122200725	70601771	0.578	4.27	9.91	149305392	82208641	0.551	5.21	11.54	144544873	34679176	0.240	5.05	4.87	586026532	237475622	0.405	20.46	32.53		188075325	15362258	0.082	6.57	2.16	170057716	39643032	0.233	5.94	5.56	208169963	52926629	0.254	7.27	7.43	280841927	25555465	0.091	9.80	3.59	847144995	136631156	0.161	29.57	18.72
cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	35343189	0.126	9.78	3.90	144214828	41009765	0.284	5.03	4.53	200305765	73001891	0.364	6.99	8.06	221340539	25447349	0.115	7.73	2.81	845903867	177226879	0.210	29.53	19.11	207810289	63270669	0.304	7.25	6.99	149236511	89377995	0.599	5.21	9.87	28245162	47515461	1.682	0.99	5.25	200417614	68178355	0.340	7.00	7.53	585709826	277142203	0.473	20.45	29.89	169975490	55913129	0.329	5.93	6.17	122200725	91462213	0.748	4.27	10.10	149305392	102871082	0.689	5.21	11.36	144544873	43326234	0.300	5.05	4.78	586026532	300069441	0.512	20.46	32.36		188075325	19632433	0.104	6.57	2.17	170057716	50064318	0.294	5.94	5.53	208169963	65536130	0.315	7.27	7.24	280841927	33694561	0.120	9.80	3.72	847144995	172774961	0.204	29.57	18.63
lambda.DNA027585_S11-subsamp18M-s18_R1_001_val_1	520539	140.991	7.61	5.21	2573	613511	238.442	5.31	6.14	2732	556861	203.829	5.63	5.58	3337	558562	167.384	6.88	5.59	12334	2288188	185.519	25.43	22.38	3216	783077	243.494	6.63	7.84	2497	624681	250.173	5.15	6.26	3113	750022	240.932	6.42	7.51	2536	542102	213.763	5.23	5.43	11362	2753731	242.363	23.43	26.94	3256	601741	184.810	6.71	6.03	3615	900490	249.098	7.45	9.02	3180	704815	221.640	6.56	7.06	2768	633841	228.989	5.71	6.35	12820	2903794	226.505	26.43	28.41		2170	322069	148.419	4.47	3.23	2677	560475	209.367	5.52	5.61	3794	807304	212.784	7.82	8.08	3345	506123	151.307	6.90	5.07	11986	2276508	189.931	24.71	22.27
lambda.DNA027586_S12-subsamp18M-s18_R1_001_val_1	2948952	798.741	7.61	5.22	2573	3484218	1354.146	5.31	6.17	2732	3151794	1153.658	5.63	5.58	3337	3162046	947.571	6.88	5.60	12334	12962114	1050.925	25.43	22.42	3216	4431426	1377.931	6.63	7.85	2497	3539790	1417.617	5.15	6.27	3113	4240034	1362.041	6.42	7.51	2536	3069577	1210.401	5.23	5.43	11362	15586534	1371.813	23.43	26.96	3256	3401942	1044.822	6.71	6.02	3615	5079610	1405.148	7.45	8.99	3180	3949568	1242.003	6.56	6.99	2768	3583440	1294.595	5.71	6.34	12820	16367357	1276.705	26.43	28.31		2170	1833475	844.919	4.47	3.25	2677	3168024	1183.423	5.52	5.61	3794	4568090	1204.030	7.82	8.09	3345	2873998	859.192	6.90	5.09	11986	12894367	1075.786	24.71	22.30
lambda.DNA032997_S29-subsamp18M-s18_R1_001_val_1	467607	126.654	7.61	5.31	2573	538656	209.349	5.31	6.11	2732	493989	180.816	5.63	5.60	3337	502285	150.520	6.88	5.70	12334	2037325	165.180	25.43	22.59	3216	689743	214.472	6.63	7.83	2497	540407	216.423	5.15	6.13	3113	652201	209.509	6.42	7.40	2536	478362	188.629	5.23	5.43	11362	2408015	211.936	23.43	26.70	3256	534598	164.189	6.71	6.07	3615	783082	216.620	7.45	8.88	3180	609232	191.582	6.56	6.91	2768	559322	202.067	5.71	6.35	12820	2543440	198.396	26.43	28.20		2170	292818	134.939	4.47	3.32	2677	495172	184.973	5.52	5.62	3794	719483	189.637	7.82	8.16	3345	456643	136.515	6.90	5.18	11986	2030833	169.434	24.71	22.52
lambda.DNA032998_S30-subsamp18M-s18_R1_001_val_1	129093	34.966	7.61	5.32	2573	147615	57.371	5.31	6.08	2732	136055	49.801	5.63	5.61	3337	137293	41.143	6.88	5.66	12334	559444	45.358	25.43	22.53	3216	188721	58.682	6.63	7.78	2497	148089	59.307	5.15	6.10	3113	179934	57.801	6.42	7.41	2536	132645	52.305	5.23	5.47	11362	662292	58.290	23.43	26.67	3256	147130	45.187	6.71	6.06	3615	215558	59.629	7.45	8.88	3180	167857	52.785	6.56	6.92	2768	154779	55.917	5.71	6.38	12820	701033	54.683	26.43	28.23		2170	79866	36.805	4.47	3.29	2677	137140	51.229	5.52	5.65	3794	198186	52.237	7.82	8.17	3345	126758	37.895	6.90	5.22	11986	560623	46.773	24.71	22.57
lambda.cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	1137077	307.984	7.61	5.33	2573	1295929	503.665	5.31	6.07	2732	1193360	436.808	5.63	5.59	3337	1222692	366.405	6.88	5.73	12334	4939248	400.458	25.43	22.62	3216	1687192	524.624	6.63	7.91	2497	1317891	527.790	5.15	6.18	3113	1574610	505.818	6.42	7.38	2536	1178112	464.555	5.23	5.52	11362	5866068	516.288	23.43	26.86	3256	1284079	394.373	6.71	6.02	3615	1893711	523.848	7.45	8.87	3180	1433336	450.735	6.56	6.72	2768	1333075	481.602	5.71	6.25	12820	6089561	475.005	26.43	27.89		2170	706980	325.797	4.47	3.31	2677	1226484	458.156	5.52	5.75	3794	1734588	457.192	7.82	8.13	3345	1121207	335.189	6.90	5.25	11986	4942362	412.345	24.71	22.63
lambda.cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	1673458	453.266	7.61	5.23	2573	1941371	754.517	5.31	6.07	2732	1794455	656.828	5.63	5.61	3337	1817978	544.794	6.88	5.68	12334	7357594	596.529	25.43	22.47	3216	2530002	786.692	6.63	7.91	2497	1975397	791.108	5.15	6.17	3113	2366952	760.344	6.42	7.40	2536	1762956	695.172	5.23	5.51	11362	8802060	774.693	23.43	26.88	3256	1921847	590.248	6.71	6.01	3615	2866012	792.811	7.45	8.96	3180	2190131	688.720	6.56	6.85	2768	2010453	726.320	5.71	6.28	12820	9207227	718.192	26.43	28.12		2170	1046635	482.320	4.47	3.27	2677	1825288	681.841	5.52	5.71	3794	2612711	688.643	7.82	8.17	3345	1655530	494.927	6.90	5.17	11986	7374337	615.246	24.71	22.52
lambda.cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	531160	143.868	7.61	5.27	2573	611544	237.677	5.31	6.07	2732	563874	206.396	5.63	5.60	3337	575292	172.398	6.88	5.71	12334	2323118	188.351	25.43	22.54	3216	795148	247.248	6.63	7.90	2497	621087	248.733	5.15	6.17	3113	745775	239.568	6.42	7.41	2536	554715	218.736	5.23	5.51	11362	2769060	243.712	23.43	26.87	3256	605583	185.990	6.71	6.01	3615	899468	248.815	7.45	8.93	3180	684910	215.381	6.56	6.80	2768	630369	227.734	5.71	6.26	12820	2889521	225.392	26.43	28.04		2170	332696	153.316	4.47	3.30	2677	574910	214.759	5.52	5.71	3794	821275	216.467	7.82	8.16	3345	522142	156.096	6.90	5.19	11986	2322948	193.805	24.71	22.54
lambda.cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	2128790	576.595	7.61	5.27	2573	2448863	951.754	5.31	6.06	2732	2267365	829.929	5.63	5.61	3337	2296441	688.175	6.88	5.69	12334	9308846	754.731	25.43	22.52	3216	3186336	990.776	6.63	7.89	2497	2491321	997.726	5.15	6.17	3113	2986200	959.268	6.42	7.40	2536	2216041	873.833	5.23	5.49	11362	11089416	976.009	23.43	26.83	3256	2435553	748.020	6.71	6.03	3615	3604584	997.119	7.45	8.93	3180	2767413	870.256	6.56	6.85	2768	2539703	917.523	5.71	6.29	12820	11621862	906.541	26.43	28.12		2170	1324431	610.337	4.47	3.28	2677	2300032	859.183	5.52	5.70	3794	3294612	868.374	7.82	8.16	3345	2093211	625.773	6.90	5.18	11986	9307261	776.511	24.71	22.52
lambda.cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	774559	209.794	7.61	5.32	2573	878981	341.617	5.31	6.04	2732	814924	298.288	5.63	5.60	3337	835703	250.435	6.88	5.74	12334	3365123	272.833	25.43	22.60	3216	1147692	356.869	6.63	7.89	2497	894997	358.429	5.15	6.15	3113	1073584	344.871	6.42	7.38	2536	802047	316.265	5.23	5.51	11362	3992594	351.399	23.43	26.81	3256	876354	269.150	6.71	6.02	3615	1293643	357.854	7.45	8.89	3180	985851	310.016	6.56	6.77	2768	909643	328.628	5.71	6.25	12820	4165062	324.888	26.43	27.97		2170	482165	222.196	4.47	3.31	2677	835200	311.991	5.52	5.74	3794	1186016	312.603	7.82	8.15	3345	762369	227.913	6.90	5.24	11986	3369568	281.125	24.71	22.63
lambda.cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	1853023	501.902	7.61	5.23	2573	2141574	832.326	5.31	6.05	2732	1982340	725.600	5.63	5.60	3337	2016763	604.364	6.88	5.69	12334	8141804	660.111	25.43	22.46	3216	2802081	871.294	6.63	7.91	2497	2204157	882.722	5.15	6.22	3113	2624227	842.990	6.42	7.41	2536	1963935	774.422	5.23	5.54	11362	9774842	860.310	23.43	26.97	3256	2122756	651.952	6.71	5.99	3615	3177999	879.115	7.45	8.97	3180	2410234	757.935	6.56	6.80	2768	2209847	798.355	5.71	6.24	12820	10161626	792.639	26.43	28.03		2170	1158017	533.648	4.47	3.27	2677	2032432	759.220	5.52	5.74	3794	2886621	760.838	7.82	8.15	3345	1834817	548.525	6.90	5.18	11986	8168120	681.472	24.71	22.53
lambda.cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	1681574	455.464	7.61	5.23	2573	1948462	757.272	5.31	6.06	2732	1796067	657.418	5.63	5.59	3337	1829754	548.323	6.88	5.69	12334	7387854	598.983	25.43	22.47	3216	2536787	788.802	6.63	7.90	2497	1991062	797.382	5.15	6.20	3113	2380216	764.605	6.42	7.41	2536	1774790	699.838	5.23	5.52	11362	8850244	778.934	23.43	26.91	3256	1929737	592.671	6.71	6.01	3615	2875880	795.541	7.45	8.95	3180	2201061	692.158	6.56	6.85	2768	2014641	727.833	5.71	6.27	12820	9240298	720.772	26.43	28.10		2170	1052982	485.245	4.47	3.28	2677	1839766	687.249	5.52	5.73	3794	2617844	689.996	7.82	8.15	3345	1660380	496.377	6.90	5.17	11986	7406273	617.910	24.71	22.52
lambda.cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	468015	126.765	7.61	5.26	2573	539396	209.637	5.31	6.06	2732	500646	183.253	5.63	5.62	3337	505726	151.551	6.88	5.68	12334	2051483	166.327	25.43	22.52	3216	706764	219.765	6.63	7.94	2497	552607	221.308	5.15	6.21	3113	660791	212.268	6.42	7.42	2536	491771	193.916	5.23	5.52	11362	2456864	216.235	23.43	26.97	3256	533734	163.923	6.71	6.00	3615	799885	221.268	7.45	8.99	3180	602680	189.522	6.56	6.77	2768	554767	200.422	5.71	6.23	12820	2552657	199.115	26.43	28.03		2170	291158	134.174	4.47	3.27	2677	509344	190.267	5.52	5.72	3794	726018	191.360	7.82	8.16	3345	457900	136.891	6.90	5.14	11986	2047077	170.789	24.71	22.48
lambda.cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	701786	190.083	7.61	5.38	2573	787749	306.160	5.31	6.04	2732	732359	268.067	5.63	5.61	3337	751202	225.113	6.88	5.76	12334	3027267	245.441	25.43	22.67	3216	1026850	319.294	6.63	7.87	2497	797937	319.558	5.15	6.11	3113	959996	308.383	6.42	7.36	2536	722301	284.819	5.23	5.54	11362	3573850	314.544	23.43	26.77	3256	787244	241.783	6.71	6.03	3615	1154407	319.338	7.45	8.85	3180	873563	274.705	6.56	6.69	2768	812771	293.631	5.71	6.23	12820	3716227	289.877	26.43	27.83		2170	434589	200.271	4.47	3.33	2677	752542	281.114	5.52	5.77	3794	1060478	279.514	7.82	8.13	3345	693594	207.352	6.90	5.32	11986	3033933	253.123	24.71	22.72
lambda.cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	4318775	1169.766	7.61	5.63	2573	4659213	1810.810	5.31	6.07	2732	4384017	1604.691	5.63	5.71	3337	4467124	1338.665	6.88	5.82	12334	18145539	1471.180	25.43	23.11	3216	5982409	1860.202	6.63	7.79	2497	4555634	1824.443	5.15	5.93	3113	5590256	1795.778	6.42	7.28	2536	4129558	1628.375	5.23	5.38	11362	20652527	1817.684	23.43	26.30	3256	4751455	1459.292	6.71	6.19	3615	6668569	1844.694	7.45	8.69	3180	5148397	1618.993	6.56	6.71	2768	4829697	1744.833	5.71	6.29	12820	21912484	1709.242	26.43	27.90		2170	2633027	1213.376	4.47	3.43	2677	4298141	1605.581	5.52	5.60	3794	6285935	1656.809	7.82	8.19	3345	4066682	1215.749	6.90	5.30	11986	17818361	1486.598	24.71	22.69
